,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
11030,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11031,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11032,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11033,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11034,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11035,Pokémon 2: De Film - Op Eigen Kracht,(1999),AL,"['Animation', ' Action', ' Adventure']",84,6.0,28,22521
11036,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11037,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11038,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11039,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11040,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11041,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11042,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11043,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11044,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11045,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11046,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11047,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11048,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11049,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11050,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11051,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11052,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11053,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11054,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11055,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11056,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11057,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11058,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11059,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11060,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11061,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11062,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11063,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11064,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11065,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11066,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11067,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11068,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
