,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
236,Perfect Blue,,R,"['Animation', ' Crime', ' Drama']",81,8,67,77412
237,Step Up,,PG-13,"['Crime', ' Drama', ' Music']",104,6.5,48,120027
238,The Gunman,,R,"['Action', ' Adventure', ' Crime']",115,5.8,39,41617
239,The Quick and the Dead,,R,"['Action', ' Romance', ' Thriller']",108,6.5,49,95303
240,Serendipity,,PG-13,"['Comedy', ' Romance']",90,6.8,52,114106
241,Lilo & Stitch,,PG,"['Animation', ' Adventure', ' Comedy']",85,7.3,73,192019
242,Ender's Game,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.6,51,241673
243,Murder Mystery,,PG-13,"['Action', ' Comedy', ' Crime']",97,6,38,129013
244,The Invitation,,Not Rated,"['Drama', ' Horror', ' Mystery']",100,6.6,74,110179
245,The Woman in the Window,,R,"['Crime', ' Drama', ' Mystery']",100,5.7,41,75452
246,The Dead Don't Die,,R,"['Comedy', ' Fantasy', ' Horror']",104,5.4,53,79204
247,Triple Frontier,,R,"['Action', ' Thriller']",125,6.4,61,129409
248,Eurovision Song Contest: The Story of Fire Saga,,PG-13,"['Comedy', ' Musical']",123,6.5,50,94513
249,The Hitman's Bodyguard,,R,"['Action', ' Comedy', ' Crime']",118,6.9,47,231876
250,The Bad Batch,,R,"['Action', ' Horror', ' Mystery']",118,5.2,62,32135
251,The Ritual,,TV-MA,"['Horror', ' Mystery', ' Thriller']",94,6.3,57,102084
252,The Night Before,,R,"['Comedy', ' Fantasy']",101,6.3,58,75019
253,The Lorax,,PG,"['Animation', ' Adventure', ' Comedy']",86,6.4,46,114411
254,"Extremely Wicked, Shockingly Evil and Vile",,R,"['Biography', ' Crime', ' Drama']",110,6.7,52,95153
255,Oz the Great and Powerful,,PG,"['Adventure', ' Family', ' Fantasy']",130,6.3,44,208772
256,Pan,,PG,"['Action', ' Adventure', ' Comedy']",111,5.7,36,64718
257,Felon,,R,"['Crime', ' Thriller']",104,7.4,58,79699
258,Total Recall,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,6.2,43,255637
259,Roma,,R,['Drama'],135,7.7,96,158773
260,Blue Jasmine,,PG-13,"['Comedy', ' Drama']",98,7.3,78,203938
261,Contagion,,PG-13,"['Drama', ' Thriller']",106,6.8,70,304426
262,Let It Snow,,PG-13,"['Comedy', ' Romance']",92,5.8,51,22316
263,Dangerous,,R,"['Action', ' Thriller']",99,5.1,27,6635
264,Munich: The Edge of War,,PG-13,"['Biography', ' Drama', ' History']",130,6.8,53,30862
265,Against the Ice,,TV-MA,"['Adventure', ' Drama', ' History']",102,6.5,49,22849
266,Mother/Android,,R,"['Drama', ' Sci-Fi', ' Thriller']",110,4.9,43,19086
267,The Post,,PG-13,"['Biography', ' Drama', ' History']",116,7.2,83,151886
268,Rango,,PG,"['Animation', ' Action', ' Adventure']",107,7.2,75,266903
269,Set It Up,,TV-14,"['Comedy', ' Romance']",105,6.5,62,54793
270,Now You See Me 2,,PG-13,"['Action', ' Adventure', ' Comedy']",129,6.4,46,290944
271,Geostorm,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,5.3,21,108953
272,The Trial of the Chicago 7,,R,"['Drama', ' History', ' Thriller']",129,7.7,76,177500
273,Office Christmas Party,,R,['Comedy'],105,5.8,42,80569
274,Sr.,,R,['Documentary'],89,8.1,76,52
275,The Fate of the Furious,,PG-13,"['Action', ' Crime', ' Thriller']",136,6.6,56,232844
276,Fractured,,TV-MA,['Thriller'],99,6.4,36,76165
277,Life of Brian,,R,['Comedy'],94,8,77,400170
278,Smokin' Aces,,R,"['Action', ' Comedy', ' Crime']",108,6.6,45,146383
279,Kate,,R,"['Action', ' Adventure', ' Crime']",106,6.2,47,62090
280,The Shack,,PG-13,"['Drama', ' Fantasy']",132,6.2,32,36349
281,Bad Teacher,,R,"['Comedy', ' Romance']",92,5.6,47,204340
282,Lord of War,,R,"['Crime', ' Drama']",122,7.6,62,318626
283,A Perfect Pairing,,TV-14,"['Comedy', ' Romance']",101,6.1,55,12655
284,Hunt for the Wilderpeople,,PG-13,"['Adventure', ' Comedy', ' Drama']",101,7.8,81,131307
285,The Girl in the Spider's Web,,R,"['Action', ' Crime', ' Drama']",115,6.1,43,48211
286,The Karate Kid,,PG,"['Action', ' Drama', ' Family']",140,6.2,61,185243
287,In Her Hands,,PG-13,['Documentary'],92,6.6,46,117
288,Awakenings,,PG-13,"['Biography', ' Drama']",121,7.8,74,142598
289,How It Ends,,TV-MA,"['Action', ' Drama', ' Horror']",113,5,36,53729
290,The Babysitter: Killer Queen,,TV-MA,"['Comedy', ' Horror']",101,5.8,22,40927
291,Fear Street: Part One - 1994,,R,"['Drama', ' Horror', ' Mystery']",107,6.2,67,81905
292,The Tourist,,PG-13,"['Action', ' Thriller']",103,6,37,244568
293,Shot Caller,,R,"['Crime', ' Drama', ' Thriller']",121,7.3,59,87404
294,Spenser Confidential,,R,"['Action', ' Comedy', ' Drama']",111,6.2,49,89003
295,Sand Castle,,TV-MA,"['Action', ' Drama', ' War']",113,6.3,45,23965
296,The Vault,,R,"['Action', ' Adventure', ' Thriller']",118,6.4,50,25893
297,Tommy Boy,,PG-13,"['Adventure', ' Comedy']",97,7.1,46,88781
298,Cars 3,,G,"['Animation', ' Adventure', ' Comedy']",102,6.7,59,101211
299,The Snowman,,R,"['Crime', ' Drama', ' Thriller']",119,5.1,23,65203
300,In the Heart of the Sea,,PG-13,"['Action', ' Adventure', ' Biography']",122,6.9,47,140066
301,This Is England,,Not Rated,"['Crime', ' Drama']",101,7.7,86,123019
302,I Care a Lot,,R,"['Comedy', ' Crime', ' Drama']",118,6.3,66,133192
303,The Poison Rose,,R,"['Crime', ' Mystery', ' Thriller']",98,4.7,26,9770
304,News of the World,,PG-13,"['Action', ' Adventure', ' Drama']",118,6.8,73,87379
