,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
521,Winnie the Pooh,,G,"['Animation', ' Adventure', ' Comedy']",63,7.1,74,25715
522,Eight Below,,PG,"['Adventure', ' Drama', ' Family']",120,7.3,64,65379
523,Suite Fran莽aise,,,"['Drama', ' Romance', ' Thriller']",107,7,63,26800
524,Hidalgo,,PG-13,"['Action', ' Adventure', ' Biography']",136,6.7,54,82771
525,The Iron Lady,,PG-13,"['Biography', ' Drama']",105,6.4,52,110034
526,Speed 2: Cruise Control,,PG-13,"['Action', ' Adventure', ' Crime']",121,3.9,23,81935
527,The Great Mouse Detective,,G,"['Animation', ' Adventure', ' Family']",74,7.2,73,50414
528,Downhill,,R,"['Comedy', ' Drama']",86,4.9,49,12661
529,Evita,,PG,"['Biography', ' Drama', ' History']",135,6.3,45,36074
530,Turner & Hooch,,PG,"['Comedy', ' Crime', ' Drama']",97,6.2,36,71838
531,When in Rome,,PG-13,"['Comedy', ' Romance']",91,5.5,25,62836
532,Like Mike,,PG,"['Comedy', ' Family', ' Fantasy']",99,5.3,47,21188
533,"McFarland, USA",,PG,"['Biography', ' Drama', ' Sport']",129,7.4,60,39382
534,True Story,,R,"['Biography', ' Crime', ' Drama']",99,6.3,50,69345
535,Hannah Montana: The Movie,,G,"['Comedy', ' Drama', ' Family']",102,4.5,47,43112
536,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,PG,"['Comedy', ' Drama', ' Family']",81,6.2,54,44656
537,You Again,,PG,"['Comedy', ' Romance']",105,5.7,28,52457
538,"Hello, Dolly!",,G,"['Adventure', ' Comedy', ' Musical']",146,7,51,15653
539,Tigerland,,R,"['Drama', ' War']",101,7,55,41586
540,"Honey, I Blew Up the Kid",,PG,"['Adventure', ' Comedy', ' Family']",89,4.9,50,44714
541,Red Tails,,PG-13,"['Action', ' Drama', ' History']",125,5.9,46,35914
542,Babes in Toyland,,Approved,"['Comedy', ' Family', ' Fantasy']",106,6.1,55,4314
543,Down with Love,,PG-13,"['Comedy', ' Romance']",101,6.3,52,42241
544,Star Wars: The Clone Wars,,PG,"['Animation', ' Action', ' Adventure']",98,5.9,35,66874
545,Aliens in the Attic,,PG,"['Adventure', ' Comedy', ' Family']",86,5.4,42,22643
546,The Horse Whisperer,,PG-13,"['Drama', ' Romance', ' Western']",169,6.7,65,41669
547,"I, Daniel Blake",,R,['Drama'],100,7.8,78,60496
548,Clouds,,PG-13,"['Biography', ' Drama', ' Music']",121,7.5,55,10389
549,Moonwalkers,,R,"['Action', ' Comedy']",96,6.1,39,9398
550,Doctor Dolittle,,PG-13,"['Comedy', ' Family', ' Fantasy']",85,5.4,46,97814
551,Three Men and a Little Lady,,PG,"['Comedy', ' Drama', ' Family']",104,5.4,51,25103
552,Bringing Down the House,,PG-13,['Comedy'],105,5.6,39,37718
553,The One and Only Ivan,,PG,"['Adventure', ' Comedy', ' Drama']",95,6.5,58,12449
554,Drive Me Crazy,,PG-13,"['Comedy', ' Drama', ' Romance']",91,5.7,42,20024
555,Kinsey,,R,"['Biography', ' Drama', ' Romance']",118,7.1,79,49604
556,G-Force,,PG,"['Animation', ' Action', ' Adventure']",88,5.1,41,47126
557,Mighty Joe Young,,PG,"['Action', ' Adventure', ' Family']",114,5.7,51,29475
558,Escape to Witch Mountain,,G,"['Adventure', ' Family', ' Fantasy']",97,6.3,60,10584
559,Seabiscuit,,PG-13,"['Drama', ' History', ' Sport']",140,7.3,72,73757
560,Dumbo,,G,"['Animation', ' Adventure', ' Drama']",64,7.2,96,132973
561,Goal! The Dream Begins,,PG,"['Drama', ' Romance', ' Sport']",118,6.7,53,63770
562,Broadcast News,,R,"['Comedy', ' Drama', ' Romance']",133,7.2,84,31793
563,Big Momma's House 2,,PG-13,"['Comedy', ' Crime']",99,4.7,34,44051
