,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
248,Nigerian Prince,2018,,"['Crime', ' Drama', ' Thriller']",104,5.9,61,424
249,¡Viva Maestro!,2022,,['Documentary'],99,7.6,65,53
250,Justin Bieber: Our World,2021,PG,"['Documentary', ' Music']",94,4.8,46,767
251,What the Constitution Means to Me,2020,,['Drama'],100,7.4,87,718
252,The Kids in the Hall: Comedy Punks,2022,,['Documentary'],95,8,78,400
253,Kaepernick & America,2022,,['Documentary'],82,6.3,66,29
254,My Name Is Pauli Murray,2021,PG-13,['Documentary'],91,7,73,431
255,The Boy from Medellín,2020,R,"['Documentary', ' Biography', ' Music']",96,6.2,69,644
256,All In: The Fight for Democracy,2020,PG-13,['Documentary'],102,6.8,79,1964
257,Man in the Chair,2007,PG-13,"['Comedy', ' Drama']",107,7,44,1696
258,Mayor Pete,2021,R,['Documentary'],96,4.9,63,1510
259,Mary J Blige's My Life,2021,R,['Documentary'],82,6.6,56,586
260, Small Axe,2020,12,"['Drama', ' History']",127,8,90,5565
