,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
34580,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34581,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34582,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34583,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34584,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34585,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34586,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34587,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34588,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34589,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34590,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34591,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34592,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34593,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34594,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34595,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34596,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34597,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34598,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34599,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34600,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34601,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34602,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34603,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34604,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34605,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34606,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34607,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34608,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34609,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34610,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34611,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34612,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34613,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
